WDPAID,WDPA_PID,PA_DEF,NAME,ORIG_NAME,DESIG,DESIG_ENG,DESIG_TYPE,IUCN_CAT,INT_CRIT,MARINE,REP_M_AREA,GIS_M_AREA,REP_AREA,GIS_AREA,NO_TAKE,NO_TK_AREA,STATUS,STATUS_YR,GOV_TYPE,OWN_TYPE,MANG_AUTH,MANG_PLAN,VERIF,METADATAID,SUB_LOC,PARENT_ISO3,ISO3,SUPP_INFO,CONS_OBJ
12493.0,12493,1,Barra del Colorado,Barra del Colorado,Refugio Nacional de Vida Silvestre,National Wildlife Refuge,National,VI,Not Applicable,0,811.3934,9.03196933314326,811.393005371094,814.805260171928,Not Applicable,0.0,Designated,1985,Federal or national ministry or agency,Joint ownership,Federal or national ministry or agency,Not Reported,State Verified,811,CR-L,CRI,CRI,Not Applicable,Not Applicable
12492.0,12492,1,Golfito,Golfito,Refugio Nacional de Vida Silvestre,National Wildlife Refuge,National,VI,Not Applicable,0,28.7687,0.104256317933154,28.7687,28.8048250724455,Not Applicable,0.0,Designated,1986,Federal or national ministry or agency,Joint ownership,Federal or national ministry or agency,Not Reported,State Verified,811,CR-P,CRI,CRI,Not Applicable,Not Applicable
19402.0,19402,1,Gandoca Manzanillo,Gandoca Manzanillo,Refugio Nacional de Vida Silvestre,National Wildlife Refuge,National,VI,Not Applicable,1,45.663,57.2846816829869,59.2326011657715,105.289493242348,Not Reported,0.0,Designated,1985,Federal or national ministry or agency,Joint ownership,Federal or national ministry or agency,Not Reported,State Verified,811,CR-L,CRI,CRI,Not Applicable,Not Applicable
555705207.0,555705207,1,Isla San Lucas,Isla San Lucas,Parque Nacional,National Park,National,II,Not Applicable,1,9.9461,4.08164653146757,9.9461,10.0997864961207,Not Reported,0.0,Designated,2020,Federal or national ministry or agency,State,Federal or national ministry or agency,Not Reported,State Verified,811,CR-P,CRI,CRI,Not Applicable,Not Applicable
108137.0,108137,1,Cipanci,Cipanci,Refugio Nacional de Vida Silvestre,National Wildlife Refuge,National,VI,Not Applicable,1,42.7099,8.42399670358892,42.7099,41.4512037929571,Not Reported,0.0,Designated,2001,Federal or national ministry or agency,Joint ownership,Not Reported,Not Reported,State Verified,811,CR-G,CRI,CRI,Not Applicable,Not Applicable
12488.0,12488,1,Cano Negro,Cano Negro,Refugio Nacional de Vida Silvestre,National Wildlife Refuge,National,VI,Not Applicable,0,0.0,0.0,101.601997375488,102.010085494478,Not Applicable,0.0,Designated,1984,Federal or national ministry or agency,Joint ownership,Federal or national ministry or agency,Not Reported,State Verified,811,CR-A,CRI,CRI,Not Applicable,Not Applicable
11851.0,11851,1,Curu,Curu,Refugio Nacional de Vida Silvestre,National Wildlife Refuge,National,VI,Not Applicable,0,0.9048,0.00245790930898899,0.904788970947266,0.90845163364269,Not Applicable,0.0,Designated,1983,Federal or national ministry or agency,Joint ownership,Federal or national ministry or agency,Not Reported,State Verified,811,CR-P,CRI,CRI,Not Applicable,Not Applicable
12244.0,12244,1,Ostional,Ostional,Refugio Nacional de Vida Silvestre,National Wildlife Refuge,National,VI,Not Applicable,1,0.0,76.5100613622879,80.5389022827148,85.926825972912,Not Reported,0.0,Designated,1983,Federal or national ministry or agency,Joint ownership,Federal or national ministry or agency,Not Reported,State Verified,811,CR-G,CRI,CRI,Not Applicable,Not Applicable
61924.0,61924,1,Penas Blancas,Penas Blancas,Refugio Nacional de Vida Silvestre,National Wildlife Refuge,National,VI,Not Applicable,0,0.0,0.0,23.9995002746582,24.0990044346005,Not Applicable,0.0,Designated,1985,Federal or national ministry or agency,Joint ownership,Federal or national ministry or agency,Not Reported,State Verified,811,CR-A,CRI,CRI,Not Applicable,Not Applicable
102375.0,102375,1,Bosque Alegre,Bosque Alegre,Refugio Nacional de Vida Silvestre,National Wildlife Refuge,National,VI,Not Applicable,0,0.0,0.0,8.39807033538818,8.43371483170464,Not Applicable,0.0,Designated,1994,Federal or national ministry or agency,Joint ownership,Federal or national ministry or agency,Not Reported,State Verified,811,CR-A,CRI,CRI,Not Applicable,Not Applicable
